Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
9255.195683,32,31,1,0.116,0.000,0,0,0,0,0.116,0.029,2958,0,29,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9329.58808,32,9,1,0.087,0.000,0,0,0,0,0.087,0.022,2244,0,22,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9420.88175,32,6,1,0.100,0.000,0,0,0,0,0.100,0.025,2550,0,25,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9494.432055,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9572.531774,32,7,1,0.029,0.000,0,0,0,0,0.029,0.008,816,0,8,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9601.546183,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9702.156744,32,7,1,0.080,0.000,0,0,0,0,0.080,0.025,1900,0,0,25,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9702.999868,32,99,1,0.095,0.000,0,0,0,0,0.095,0.023,2231,0,23,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9703.030194,32,99,1,0.026,0.000,0,0,0,0,0.026,0.007,679,0,7,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9711.842853,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9711.514884,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9712.999347,32,7,1,0.136,0.000,0,0,0,0,0.136,0.040,3040,0,0,40,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9713.155919,32,7,1,0.153,0.000,0,0,0,0,0.153,0.045,3420,0,0,45,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9716.873923,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9725.131736,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9741.100516,32,99,1,0.100,0.000,0,0,0,0,0.100,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9772.17861,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9784.822881,32,31,1,0.087,0.000,0,0,0,0,0.087,0.022,2244,0,22,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9821.483785,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9873.506232,32,6,1,0.083,0.000,0,0,0,0,0.083,0.021,2142,0,21,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
9925.61614,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10005.714606,32,9,1,0.112,0.000,0,0,0,0,0.112,0.028,2856,0,28,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10153.867941,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10188.873974,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10546.946966,32,31,1,0.054,0.000,0,0,0,0,0.054,0.014,1428,0,14,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10617.336339,32,9,1,0.108,0.000,0,0,0,0,0.108,0.027,2754,0,27,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10699.485127,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
10812.358389,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10816.407721,32,7,1,0.060,0.000,0,0,0,0,0.060,0.019,1444,0,0,19,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10817.780172,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10818.881916,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10836.811452,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10869.905172,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10918.975516,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
10996.072119,32,31,1,0.054,0.000,0,0,0,0,0.054,0.014,1428,0,14,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11061.195624,32,31,1,0.029,0.000,0,0,0,0,0.029,0.008,816,0,8,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11061.967733,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11206.755651,32,6,1,0.021,0.000,0,0,0,0,0.021,0.006,612,0,6,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11223.975546,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11370.713079,32,9,1,0.008,0.000,0,0,0,0,0.008,0.003,306,0,3,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
11434.436604,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.73,0.09,0.01,0.01,34.34,29.70,1,oui,rank
